"FUNC-ID","page","route","element","text","action","expected","actual","status","console","network"
"FUNC-0001","首页/驾驶舱","/dashboard/dashboard-overview","input/combobox","","select","保持明确禁用态，不触发未授权或缺少上下文的动作","页面明确 disabled，状态与权限/上下文边界一致","Disabled-by-design","N/A","N/A"
"FUNC-0002","首页/驾驶舱","/dashboard/dashboard-overview","button/button","通知中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0003","首页/驾驶舱","/dashboard/dashboard-overview","button/button","帮助中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0004","首页/驾驶舱","/dashboard/dashboard-overview","button/button","刷新当前视图","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0005","首页/驾驶舱","/dashboard/dashboard-overview","button/button","最终验收管理员 A admin","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0006","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","首页","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0007","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","数据中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0008","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","预测中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0009","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","策略中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0010","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","AI 助手","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0011","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","报告中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0012","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","模型中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0013","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","知识库","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0014","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","任务中心","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0015","首页/驾驶舱","/dashboard/dashboard-overview","li/menuitem","系统设置","navigate","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0016","首页/驾驶舱","/dashboard/dashboard-overview","button/button","快捷操作","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0017","首页/驾驶舱","/dashboard/dashboard-overview","button/button","收起菜单","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0018","首页/驾驶舱","/dashboard/dashboard-overview","button/button","24h预测","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0019","首页/驾驶舱","/dashboard/dashboard-overview","button/button","策略中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0020","首页/驾驶舱","/dashboard/dashboard-overview","button/button","AI助手","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0021","首页/驾驶舱","/dashboard/dashboard-overview","button/button","审核报告","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0022","首页/驾驶舱","/dashboard/dashboard-overview","button/button","模型评估","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0023","首页/驾驶舱","/dashboard/dashboard-overview","button/button","任务中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0024","首页/驾驶舱","/dashboard/dashboard-overview","button/button","生成日报","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0025","首页/驾驶舱","/dashboard/dashboard-overview","button/button","AI 智能问答","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0026","首页/驾驶舱","/dashboard/dashboard-overview","button/button","更多","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0027","首页/驾驶舱","/dashboard/dashboard-overview","button/button","重新刷新","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0028","数据中心/数据总览","/data/data-overview","input/combobox","","select","保持明确禁用态，不触发未授权或缺少上下文的动作","页面明确 disabled，状态与权限/上下文边界一致","Disabled-by-design","N/A","N/A"
"FUNC-0029","数据中心/数据总览","/data/data-overview","button/button","通知中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0030","数据中心/数据总览","/data/data-overview","button/button","帮助中心","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0031","数据中心/数据总览","/data/data-overview","button/button","刷新当前视图","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
"FUNC-0032","数据中心/数据总览","/data/data-overview","button/button","最终验收管理员 A admin","click","触发对应页面业务动作，并由路由或后端 API 完成","可见、可操作；页面专项、API 与浏览器回归均通过","PASS","0 error","normal path 2xx / permission denial expected"
