id,API/调用点,输入能力,当前保护,Day4前风险,目标方式,数据权限,最终状态
DA-001,"GET /api/data/status","无动态对象","data:read","低；状态聚合","保留固定服务","viewer/analyst/admin","retained"
DA-002,"GET /api/data/catalog","search/include_runtime","data:read","曾返回物理对象目录","改为数据集注册表公开元数据","viewer/analyst/admin","replaced"
DA-003,"GET /api/data/fields","dataset/search","data:read","曾接受实际表名并暴露列","仅 dataset_id/别名解析和注册字段","viewer/analyst/admin","replaced"
DA-004,"GET /api/data/freshness","datasets","data:read","曾接受物理表清单","仅登记数据集并固定时间字段","viewer/analyst/admin","replaced"
DA-005,"POST /api/data/sql/query","任意 SQL","data:query","客户端 SQL 可形成执行语句","固定返回 410；触库前拒绝；不记录输入","analyst/admin","disabled"
DA-006,"GET /api/data/datasets","search","data:read","新增受控入口","单一注册表列表，不返回物理对象名","viewer/analyst/admin","retained"
DA-007,"GET /api/data/datasets/{dataset_id}/rows","dataset_id/filter/sort/page","data:read","旧表浏览允许动态对象","SQLAlchemy Core；对象/字段枚举；值绑定","viewer/analyst/admin","replaced"
DA-008,"GET /api/data/quality","无客户端 SQL","data:read","内部质量聚合","固定兼容服务并受 RBAC","viewer/analyst/admin","retained"
DA-009,"GET /api/data/import-export-records","分页/类型/状态","data:read","过滤参数可能扩大结果","服务端固定仓库、绑定值和分页上限","viewer/analyst/admin","retained"
DA-010,"GET /api/data/datasets/{dataset_id}/export","dataset_id/search","data:export","旧接口允许任意表导出","注册表 export_allowed、固定字段、5000 行上限","analyst/admin","replaced"
DA-011,"POST /api/data/refresh","固定动作","data:write","写操作","保留受控服务与 admin RBAC","admin","retained"
DA-012,"POST /api/data/sync-core","固定动作","data:sync","同步写操作","保留固定同步流程与 admin RBAC","admin","retained"
DA-013,"GET /api/data/tables","对象搜索","原 data:read","枚举全部表/视图","移除路由，返回 404","无","disabled"
DA-014,"GET /api/data/tables/{table}/rows","任意表名/字段/排序","原 data:read","任意对象浏览及注入面","移除路由，使用 DA-007","无","disabled"
DA-015,"GET /api/data/tables/{table}/export","任意表名","原 data:export","敏感对象导出","移除路由，使用 DA-010","无","disabled"
DA-016,"controlled_business_query_service.query_business_data","自然语言/dataset_ids/limit","AI 工具权限","旧 AI 查询可落入自由 SQL","登记的 ai_allowed 数据集和固定字段模板","随调用方 data 权限","replaced"
DA-017,"data_freshness_tools.query_database_table_freshness","自然语言/数据集引用","AI 工具权限","曾使用实际表引用","解析为登记 dataset_id；未登记拒绝","随调用方 data 权限","replaced"
DA-018,"AI 数据目录工具","search","AI 工具权限","曾暴露物理对象目录","只返回注册表公开契约","随调用方 data 权限","replaced"
DA-019,"tariff_tools._read_table","内部表键/文件键","无 Web 直达","函数参数曾拼接 SELECT *","固定 5 个表模板与文件映射，未知键拒绝","内部工具","retained"
DA-020,"market_data_repository.load_table_rows/table_exists","内部表/排序/条件","无 Web 直达","通用对象名和 where_sql 入口","11 项内部查询策略精确匹配，未知组合拒绝","内部仓库","retained"
DA-021,"data_access.query_dataframe","内部 SQL 模板/绑定值","无 API 参数直达","通用执行辅助函数","仅保留固定源码模板调用；客户端 SQL 入口已断开","内部服务","retained"
DA-022,"用户/报告/策略/任务/设置仓库 text() 查询","筛选值/分页","端点 RBAC+仓库边界","动态 WHERE 组合","字段和片段由源码枚举，用户值参数化绑定","对应业务权限","retained"
DA-023,"迁移/导入/seed/ACL 脚本","维护参数/固定对象","离线人工入口","具有 DDL/DML 能力","迁移身份、固定 manifest、非运行 API、证据化执行","迁移/维护身份","retained"
DA-024,"frontend/src/api.ts 数据客户端","dataset_id/filter/sort/page","JWT/RBAC","旧客户端传 table/SQL","只调用 datasets/rows/export 受控契约","viewer/analyst/admin","replaced"
DA-025,"DataCenterPage/DataCenterDesign","数据集选择/搜索","前端状态+服务端 RBAC","旧页面展示物理对象并调用通用表接口","仅公开 dataset_id/字段；保留七态","viewer/analyst/admin","replaced"
DA-026,"assistantApi 数据引用选项","dataset_id","JWT/RBAC","旧选项携带物理表名","只使用公开数据集标识","按 AI 和数据权限","replaced"
DA-027,"Day3/Day4 数据库门禁脚本","固定验证 SQL","本地测试入口","需要高权限建立隔离边界","只用于一次性隔离 Schema/角色或事务回滚，不进运行服务","测试维护身份","retained"
