"feature_name","dtype","source_domain","availability","lookback","forecast_horizon","source_table_or_provider","generated_at_prediction_time","leakage_risk","fallback_allowed","required_by_active_model","final_decision"
"hour","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"day_of_week","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"month","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"day","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"year","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"day_of_year","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"week_of_year","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_weekend","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_month_start","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_month_end","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"hour_sin","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"hour_cos","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"dow_sin","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"dow_cos","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"month_sin","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"month_cos","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"doy_sin","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"doy_cos","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"forecast_load","numeric","future_load_forecast","official_future_load_forecast_required","0h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_issue_lead_hours","numeric","future_load_forecast","official_future_load_forecast_required","0h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"is_peak_hour","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_valley_hour","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_morning_peak","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_evening_peak","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"is_transition_hour","numeric","calendar","known_at_prediction_time","0h","24h","timezone_aware_forecast_window","yes","none","no","yes","allow"
"forecast_load_change_1h_safe","numeric","future_load_forecast","official_future_load_forecast_required","1h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_change_24h_safe","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_vs_hist24_ratio","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_diff_1h","numeric","future_load_forecast","official_future_load_forecast_required","1h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_diff_3h","numeric","future_load_forecast","official_future_load_forecast_required","3h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_diff_24h","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_ramp_rate","numeric","future_load_forecast","official_future_load_forecast_required","0h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_x_peak","numeric","future_load_forecast","official_future_load_forecast_required","0h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_change_1h_x_peak","numeric","future_load_forecast","official_future_load_forecast_required","1h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"forecast_load_change_24h_x_peak","numeric","future_load_forecast","official_future_load_forecast_required","24h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"is_evening_peak_x_forecast_load","numeric","future_load_forecast","official_future_load_forecast_required","0h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"is_morning_peak_x_forecast_load","numeric","future_load_forecast","official_future_load_forecast_required","0h","24h","LoadForecastProvider; current code only has PJM historical feed/file fallback","no","low","no","yes","block"
"da_price_hist_hour_mean","numeric","historical_day_ahead_price","historical_lag_if_fresh","expanding_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_hist_hour_std","numeric","historical_day_ahead_price","historical_lag_if_fresh","expanding_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_hist_dow_mean","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","expanding_day_of_week","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_hist_month_mean","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","expanding_month","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_hist_weekend_mean","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","expanding_weekend","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"same_hour_price_mean_7d","numeric","historical_day_ahead_price","historical_lag_if_fresh","7d_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"same_hour_price_median_14d","numeric","historical_day_ahead_price","historical_lag_if_fresh","14d_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"same_hour_price_p75_30d","numeric","historical_day_ahead_price","historical_lag_if_fresh","30d_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"same_hour_price_p90_30d","numeric","historical_day_ahead_price","historical_lag_if_fresh","30d_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"same_hour_price_std_30d","numeric","historical_day_ahead_price","historical_lag_if_fresh","30d_same_hour","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_1","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","1h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_2","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","2h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_3","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","3h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_6","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","6h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_12","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","12h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_18","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","18h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"da_price_lag_24","numeric","historical_day_ahead_price","historical_lag_if_fresh","24h","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_25","numeric","historical_day_ahead_price","historical_lag_if_fresh","25h","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_48","numeric","historical_day_ahead_price","historical_lag_if_fresh","48h","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_72","numeric","historical_day_ahead_price","historical_lag_if_fresh","72h","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_96","numeric","historical_day_ahead_price","historical_lag_if_fresh","96h","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_168","numeric","historical_day_ahead_price","historical_lag_if_fresh","168h","24h","raw_market via historical admission","no","low","no","yes","block"
"da_price_lag_169","numeric","historical_day_ahead_price","historical_lag_if_fresh","169h","24h","raw_market via historical admission","no","low","no","yes","block"
"price_hist_change_1h","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","1h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"price_hist_change_24h","numeric","historical_day_ahead_price","historical_lag_if_fresh","24h","24h","raw_market via historical admission","no","low","no","yes","block"
"price_hist_ratio_1h","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","1h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
"price_hist_ratio_24h","numeric","historical_day_ahead_price","historical_lag_if_fresh","24h","24h","raw_market via historical admission","no","low","no","yes","block"
"price_spread_rt_minus_da_lag_1","numeric","future_real_time_price_spread","unavailable_for_recursive_h2_h24","1h","24h","no permissible online source; current engine uses historical same-hour proxy","no","prohibited","no","yes","retrain_required"
"price_spread_rt_minus_da_lag_24","numeric","historical_real_time_price_spread","historical_lag_if_fresh","24h","24h","raw_market via historical admission","no","low","no","yes","block"
"price_spread_rt_minus_da_lag_168","numeric","historical_real_time_price_spread","historical_lag_if_fresh","168h","24h","raw_market via historical admission","no","low","no","yes","block"
"price_hist_gap_vs_yesterday_same_hour","numeric","historical_price_and_recursive_model_output","generated_during_recursive_inference","0h","24h","raw_market plus prior model outputs in same run","yes","low","no","yes","allow"
