feature_name,dtype,current_status,online_available_at_prediction_time,leakage_risk,source_system,availability_latency,replacement_strategy,candidate_contract_status,candidate_feature_name,block_category,evidence
hour,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,hour,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
day_of_week,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,day_of_week,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
month,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,month,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
day,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,day,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
year,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
day_of_year,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,day_of_year,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
week_of_year,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,week_of_year,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
is_weekend,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,is_weekend,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
is_month_start,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
is_month_end,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
hour_sin,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,hour_sin,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
hour_cos,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,hour_cos,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
dow_sin,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,dow_sin,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
dow_cos,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,dow_cos,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
month_sin,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,month_sin,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
month_cos,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,month_cos,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
doy_sin,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
doy_cos,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_issue_lead_hours,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
is_peak_hour,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,is_peak_hour,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
is_valley_hour,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
is_morning_peak,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,is_morning_peak,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
is_evening_peak,numeric,allow,yes,none_after_anchor_cutoff,target_calendar,0h,keep,included,is_evening_peak,not_applicable,Day6A matrix row; candidate derivation=deterministic_from_target_datetime
is_transition_hour,numeric,allow,no_not_in_candidate,none,timezone_aware_forecast_window,known_at_prediction_time,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_change_1h_safe,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_change_24h_safe,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_vs_hist24_ratio,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_diff_1h,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_diff_3h,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_diff_24h,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_ramp_rate,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_x_peak,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_change_1h_x_peak,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_change_24h_x_peak,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
is_evening_peak_x_forecast_load,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
is_morning_peak_x_forecast_load,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
da_price_hist_hour_mean,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_hist_hour_std,numeric,block,no_not_in_candidate,low,raw_market via historical admission,historical_lag_if_fresh,remove,excluded,,data_freshness_issue,Day6A matrix row; excluded from online-safe candidate manifest
da_price_hist_dow_mean,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
