"evidence_id","domain","conclusion","path","locator","caller_or_callee","config_or_table","artifact_or_log","git_record","status","evidence_strength","notes"
"E001","资产索引","排除依赖和构建目录后共5162文件、294个含文件目录","E:\智能运营分析项目","rg --files及目录聚合","全项目","排除.git/.venv/node_modules/__pycache__/build/dist/本地BGE模型","主要扩展名统计","基线2026-07-14","completed_verified","strong","仅统计元数据，未读取大型二进制内容"
"E002","Git","当前分支p5-frontend-ai-experience，本地领先远端10个提交","E:\智能运营分析项目\.git","git status --short --branch; git branch -vv","当前工作区","safe.directory仅以命令参数临时指定","HEAD f8dc0bc","f8dc0bc 2026-06-25","completed_verified","strong","未修改Git配置"
"E003","Git","审计开始时386条状态：86 modified、300 untracked","E:\智能运营分析项目","git status --porcelain与git diff --stat","当前工作区","无","14686 insertions/4166 deletions","未提交工作区","completed_verified","strong","HEAD不能代表当前磁盘真相"
"E004","版本","前后端和启动脚本的产品版本均为v2.11.2","backend/app/config.py; frontend/package.json; scripts/web_platform_launcher.py","config.py:APP_VERSION; package.json:version","启动脚本读取/展示版本","APP_VERSION=v2.11.2","无","HEAD后工作区","completed_verified","strong","Web为当前产品主版本"
"E005","主入口","完整训练由main_daily_run经service加载legacy engine","main_daily_run.py; services/prediction_service.py; prediction_engine/legacy_engine.py","run_prediction; DEFAULT_ENGINE_SCRIPT","pipeline_steps -> prediction_service -> run_prediction_engine","engine_script指向v4_fix1","model_artifacts","基线提交后持续使用","completed_verified","strong","模块化外壳仍动态加载单体核心"
"E006","主入口","快速预测入口为forecast_with_saved_model","services/prediction_service.py; prediction_engine/fast_forecast.py","_run_fast_forecast约47-72; forecast_with_saved_model","main_daily_run --fast-forecast","Active artifact配置/注册","未来24小时结果","当前工作区","completed_verified","strong","可执行性受无Active模型阻塞"
"E007","后端","FastAPI真实入口为backend.app.main:app","backend/app/main.py","create_app约28-43; app=create_app()","uvicorn/scripts web launcher","APP_VERSION","/api路由","当前工作区","completed_verified","strong","审计时8000未监听"
"E008","前端","React/Vite为主用户界面并包含10个业务中心","frontend/package.json; frontend/src/app; frontend/src/pages","scripts.dev; 路由与菜单","npm run dev -> FastAPI","API_BASE","页面代码","当前工作区含P5 UI提交","completed_verified","strong","审计时5173未监听且未build"
"E009","桌面端","PySide6是现代桌面入口，Tkinter为旧版","ui/app.py; 启动智能运营分析GUI.bat; gui_launcher.py; 启动旧版GUI.bat","python -m ui.app","启动BAT -> ui.app","GUI启动选择逻辑","无","基线导入8ed7fb0","completed_verified","strong","run_desktop_gui按修改时间选*GUI.bat存在歧义"
"E010","采集","PJM和Open-Meteo源、时区与请求配置已实现","fetch_power_market_data.py","PJM_BASE_URL约21; OPEN_METEO约23; TIMEZONE约33","日常数据刷新","America/New_York; timeout","既有Excel/DB原始表","当前工作区","completed_verified","strong","本阶段未联网采集"
