Method,Path,Module,Handler,Route Name,Response Model,Risk Level,Current Guard,Target Guard,Required Permission,Allowed Roles,Anonymous,Write Operation,Frontend Consumer,Notes
POST,/api/ai/agent/analyze,backend.app.api.v1.endpoints.assistant,ai_agent_analyze,ai_agent_analyze,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,frontend/src/api.ts:302,none
POST,/api/ai/attachments,backend.app.api.v1.endpoints.assistant,ai_upload_attachment,ai_upload_attachment,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,frontend/src/services/assistantApi.ts:134,none
POST,/api/ai/chat,backend.app.api.v1.endpoints.assistant,ai_chat,ai_chat,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,frontend/src/api.ts:300,none
POST,/api/ai/chat/feedback,backend.app.api.v1.endpoints.assistant,ai_chat_feedback,ai_chat_feedback,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,frontend/src/api.ts:303,none
GET,/api/ai/chat/sessions,backend.app.api.v1.endpoints.assistant,ai_chat_sessions,ai_chat_sessions,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,no,frontend/src/api.ts:305,none
POST,/api/ai/chat/sessions/export,backend.app.api.v1.endpoints.assistant,ai_export_conversation,ai_export_conversation,None,sensitive,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:export,assistant:export,admin|analyst|developer,no,yes,frontend/src/services/assistantApi.ts:147,download/export response
GET,/api/ai/chat/sessions/{session_id},backend.app.api.v1.endpoints.assistant,ai_chat_session,ai_chat_session,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,no,frontend/src/services/assistantApi.ts:147,none
POST,/api/ai/chat/stream,backend.app.api.v1.endpoints.assistant,ai_chat_stream,ai_chat_stream,None,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,frontend/src/services/assistantApi.ts:91,SSE stream
POST,/api/ai/feedback,backend.app.api.v1.endpoints.assistant,ai_answer_feedback,ai_answer_feedback,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,frontend/src/api.ts:304,none
GET,/api/ai/insights,backend.app.api.v1.endpoints.assistant,ai_insights,ai_insights,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,no,frontend/src/api.ts:306,none
GET,/api/ai/local-model/status,backend.app.api.v1.endpoints.system,local_model_status,local_model_status,<class 'dict'>,sensitive,auth:get_current_user|permission:model:read,authenticated+permission:model:read,model:read,admin|analyst|developer,no,no,frontend/src/api.ts:379,none
POST,/api/ai/rag-answer,backend.app.api.v1.endpoints.assistant,ai_rag_answer_read_only,ai_rag_answer_read_only,<class 'dict'>,business,auth:get_current_user|permission:assistant:use,authenticated+permission:assistant:use,assistant:use,admin|analyst|developer,no,yes,none,none
GET,/api/ai/traces,backend.app.api.v1.endpoints.assistant,ai_traces,ai_traces,<class 'dict'>,sensitive,auth:get_current_user|permission:trace:read,authenticated+permission:trace:read,trace:read,admin|developer,no,no,frontend/src/api.ts:307,none
GET,/api/ai/traces/{trace_id},backend.app.api.v1.endpoints.assistant,ai_trace_detail,ai_trace_detail,<class 'dict'>,sensitive,auth:get_current_user|permission:trace:read,authenticated+permission:trace:read,trace:read,admin|developer,no,no,frontend/src/api.ts:308,none
POST,/api/anomaly/explain,backend.app.api.v1.endpoints.strategy,anomaly_explain,anomaly_explain,<class 'dict'>,business,auth:get_current_user|permission:task:run,authenticated+permission:strategy:generate,strategy:generate,admin|analyst,no,yes,frontend/src/api.ts:298,none
GET,/api/anomaly/latest,backend.app.api.v1.endpoints.strategy,anomaly_latest,anomaly_latest,<class 'dict'>,business,none,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:297,none
GET,/api/anomaly/{run_id},backend.app.api.v1.endpoints.strategy,anomaly_by_run,anomaly_by_run,<class 'dict'>,business,none,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:297;frontend/src/api.ts:298,none
GET,/api/audit/logs,backend.app.api.v1.endpoints.system,audit_logs,audit_logs,<class 'dict'>,sensitive,auth:get_current_user|permission:audit:read,authenticated+permission:audit:read,audit:read,admin|developer,no,no,frontend/src/api.ts:409,none
POST,/api/auth/change-password,backend.app.api.v1.endpoints.auth,change_password,change_password,<class 'dict'>,business,auth:get_current_user,authenticated+permission:auth:self,auth:self,admin|analyst|viewer|reviewer|developer,no,yes,frontend/src/api.ts:185,none
